epochs,accuracy,precision,recall,f1-score
16.0,0.17,0.08008087201125176,0.1869281045751634,0.09734968536126039
32.0,0.47,0.5356509447280239,0.4999063899063899,0.4790787533520236
64.0,0.545,0.5994554334554334,0.5672484213413006,0.5471499933941857
128.0,0.7,0.6988512100644454,0.6888847970018046,0.6715659340659339
